word,tier
das Fleisch,2
der Fisch,2
das Gemüse,2
das Obst,2
der Käse,2
die Butter,2
das Ei,2
der Zucker,2
das Salz,2
der Reis,2
die Kartoffel,2
die Tomate,2
der Salat,2
die Suppe,2
der Tee,2
der Saft,2
das Bier,2
der Wein,2
die Schokolade,2
der Kuchen,2
das Zimmer,2
die Küche,2
das Bad,2
das Wohnzimmer,2
das Schlafzimmer,2
der Garten,2
die Wohnung,2
das Gebäude,2
die Wand,2
der Boden,2
die Decke,2
das Dach,2
die Treppe,2
der Lift,2
der Schlüssel,2
das Licht,2
der Fernseher,2
der Computer,2
das Telefon,2
das Handy,2
die Tasse,2
der Teller,2
das Glas,2
die Gabel,2
das Messer,2
der Löffel,2
die Flasche,2
die Schüssel,2
die Lampe,2
der Spiegel,2
das Sofa,2
der Schrank,2
der Teppich,2
das Kissen,2
die Decke,2
das Handtuch,2
die Seife,2
die Zahnbürste,2
der Kamm,2
die Uhr,2
die Tasche,2
der Rucksack,2
die Jacke,2
das Hemd,2
die Hose,2
der Rock,2
das Kleid,2
der Schuh,2
die Socke,2
der Hut,2
die Brille,2
der Ring,2
die Kette,2
das Geschenk,2
die Party,2
das Fest,2
die Feier,2
der Geburtstag,2
das Weihnachten,2
das Ostern,2
der Urlaub,2
die Reise,2
das Hotel,2
der Flughafen,2
der Bahnhof,2
das Flugzeug,2
der Zug,2
das Taxi,2
das Fahrrad,2
das Motorrad,2
die Straßenbahn,2
die U-Bahn,2
die Haltestelle,2
die Karte,2
das Ticket,2
der Pass,2
das Visum,2
kochen,2
backen,2
putzen,2
waschen,2
kaufen,2
verkaufen,2
bezahlen,2
öffnen,2
schließen,2
aufstehen,2
anziehen,2
ausziehen,2
duschen,2
baden,2
frühstücken,2
mittagessen,2
abendessen,2
fahren,2
laufen,2
rennen,2
schwimmen,2
tanzen,2
singen,2
spielen,2
lernen,2
lehren,2
fragen,2
antworten,2
hören,2
lesen,2
schreiben,2
zeichnen,2
malen,2
fühlen,2
lieben,2
hassen,2
möchten,2
hoffen,2
wünschen,2
glauben,2
wissen,2
kennen,2
erkennen,2
treffen,2
besuchen,2
einladen,2
ankommen,2
abfahren,2
bleiben,2
verlassen,2
beginnen,2
enden,2
dauern,2
warten,2
suchen,2
finden,2
verlieren,2
gewinnen,2
versuchen,2
schaffen,2
helfen,2
unterstützen,2
erklären,2
beschreiben,2
erzählen,2
berichten,2
zeigen,2
beweisen,2
bedeuten,2
meinen,2
denken,2
überlegen,2
entscheiden,2
wählen,2
vorziehen,2
vergessen,2
erinnern,2
sich erinnern,2
sich freuen,2
sich ärgern,2
sich interessieren,2
gefallen,2
schmecken,2
riechen,2
aussehen,2
klingen,2
scheinen,2
werden,2
bleiben,2
erscheinen,2
verschwinden,2
entstehen,2
entwickeln,2
verändern,2
verbessern,2
verschlechtern,2
steigen,2
sinken,2
wachsen,2
schrumpfen,2
zunehmen,2
abnehmen,2
