word,tier
für,2
an,2
bei,2
aus,2
durch,2
ohne,2
um,2
über,2
unter,2
denn,2
warum,2
wohin,2
woher,2
keinen,2
dein,2
sein,2
ihr,2
unser,2
euer,2
dieser,2
diese,2
dieses,2
jener,2
jene,2
jenes,2
heute,2
morgen,2
gestern,2
später,2
früh,2
spät,2
schön,2
hässlich,2
teuer,2
billig,2
schnell,2
langsam,2
warm,2
kalt,2
das Fleisch,2
der Fisch,2
das Gemüse,2
das Obst,2
der Käse,2
die Butter,2
das Ei,2
der Zucker,2
das Salz,2
der Reis,2
die Kartoffel,2
die Tomate,2
der Salat,2
die Suppe,2
der Tee,2
der Saft,2
das Bier,2
der Wein,2
die Schokolade,2
der Kuchen,2
das Zimmer,2
die Küche,2
das Bad,2
das Wohnzimmer,2
das Schlafzimmer,2
der Garten,2
die Wohnung,2
das Gebäude,2
die Wand,2
der Boden,2
die Decke,2
das Dach,2
die Treppe,2
der Lift,2
der Schlüssel,2
das Licht,2
der Fernseher,2
der Computer,2
das Telefon,2
das Handy,2
kochen,2
backen,2
putzen,2
waschen,2
kaufen,2
verkaufen,2
bezahlen,2
öffnen,2
schließen,2
aufstehen,2
anziehen,2
ausziehen,2
duschen,2
baden,2
frühstücken,2
mittagessen,2
abendessen,2
fahren,2
laufen,2
rennen,2
schwimmen,2
tanzen,2
singen,2
spielen,2
lernen,2
lehren,2
fragen,2
antworten,2
hören,2
lesen,2
schreiben,2
zeichnen,2
malen,2
fühlen,2
lieben,2
hassen,2
möchten,2
eins,2
zwei,2
drei,2
vier,2
fünf,2
sechs,2
sieben,2
acht,2
neun,2
zehn,2
elf,2
zwölf,2
dreizehn,2
vierzehn,2
fünfzehn,2
sechzehn,2
siebzehn,2
achtzehn,2
neunzehn,2
zwanzig,2
dreißig,2
vierzig,2
fünfzig,2
sechzig,2
siebzig,2
achtzig,2
neunzig,2
hundert,2
Montag,2
Dienstag,2
Mittwoch,2
Donnerstag,2
Freitag,2
Samstag,2
Sonntag,2
Januar,2
Februar,2
März,2
April,2
Mai,2
Juni,2
Juli,2
August,2
September,2
Oktober,2
November,2
Dezember,2
die Woche,2
der Monat,2
die Zeit,2
die Uhr,2
die Minute,2
die Sekunde,2
die Stunde,2
müde,2
hungrig,2
durstig,2
glücklich,2
traurig,2
krank,2
gesund,2
jung,2
reich,2
arm,2
voll,2
leer,2
offen,2
geschlossen,2
hell,2
dunkel,2
laut,2
leise,2
schwer,2
leicht,2
lang,2
kurz,2
breit,2
schmal,2
hoch,2
tief,2
die Tasse,2
der Teller,2
das Glas,2
die Gabel,2
das Messer,2
der Löffel,2
die Flasche,2
die Schüssel,2
